step,avg_return
0,-319.81571141656076
5000,-298.8897915425028
10000,-295.4575392212632
15000,-206.7465681679971
20000,-107.253731891627
25000,342.1040719870928
30000,932.0873494556998
35000,1178.690829529605
40000,1113.2637440864476
45000,2168.9515120384062
50000,2672.0002437244007
55000,2518.222791716705
60000,3280.6173477598427
65000,2068.8955628910867
70000,3928.344200904374
75000,4187.496294885328
80000,4247.17917565267
85000,5027.634845809346
90000,5138.880684071596
95000,4887.580647904461
100000,5278.92517154301
105000,5248.77977195551
110000,5548.85663783674
115000,3499.7784510097176
120000,5652.272082659086
125000,6012.643179876167
130000,5995.5793127314455
135000,6186.094051601797
140000,4381.291092843301
145000,6070.882994763798
150000,6555.311799215895
155000,6167.530314591917
160000,6665.915874165384
165000,6780.563938967037
170000,6788.644500501917
175000,6735.513572439709
180000,6857.995899225006
185000,7642.090530478006
190000,7475.097586333373
195000,7055.273569582355
200000,7123.3741699436205
205000,7493.626536181203
210000,7593.4778830588075
215000,7837.910592154294
220000,7928.68405358319
225000,7707.218389732395
230000,7648.305112919795
235000,7817.460172839913
240000,7954.504937749128
245000,7950.276935790938
250000,7980.713970765347
255000,8169.28202903776
260000,8216.26156767425
265000,8523.48031694136
270000,8143.17550386649
275000,8480.397752536484
280000,8261.39888754212
285000,8279.170933897107
290000,8430.949391888105
295000,7563.534373859168
300000,8595.071675751797
305000,8703.139350695303
310000,8909.280134746443
315000,7175.680887883788
320000,8484.790701347656
325000,8841.306825717516
330000,8489.790707304353
335000,8817.185743970573
340000,8440.306728510168
345000,9085.18466995346
350000,9394.427768367752
355000,7862.819539223753
360000,8904.52799664856
365000,9207.106235230627
370000,8643.539514722774
375000,9124.18074808389
380000,8821.028554985876
385000,9253.707882069533
390000,9210.15203341656
395000,9385.633815627109
400000,9187.540555715139
405000,9427.618631451043
410000,9712.841575091743
415000,9625.867368926307
420000,9252.830446666705
425000,9276.77364030744
430000,9761.704958557688
435000,9626.94680878942
440000,9293.51939701315
445000,9963.051216649646
450000,9559.329071752836
455000,9564.34024819741
460000,9755.115242433132
465000,9574.206166364032
470000,9498.283573454499
475000,8876.563090527336
480000,9470.887310708878
485000,9793.465238126108
490000,9819.019065798935
495000,10255.522530110618
500000,9937.969617856177
505000,8035.026852699029
510000,10294.959460729471
515000,9329.29992948527
520000,9458.63095321307
525000,9846.36090102173
530000,10246.989665410109
535000,9253.477114974572
540000,9590.070131502112
545000,10162.51220289024
550000,9376.592106320677
555000,10417.180976659734
560000,10250.746420215075
565000,10304.768467830227
570000,10518.32228010422
575000,9910.134696467929
580000,10174.866607213417
585000,9455.243936315763
590000,10401.422018001273
595000,10017.259037977406
600000,10357.936329084852
605000,10527.189161365788
610000,10185.970269950734
615000,9118.234763287159
620000,10202.860441740198
625000,10077.304437546298
630000,10365.062214275946
635000,9994.05359287689
640000,10264.747172342484
645000,10542.645005338904
650000,10283.750999930066
655000,10289.889066709793
660000,10449.270430743263
665000,10458.3837123122
670000,10136.954945592375
675000,10439.231549579583
680000,10104.6794738162
685000,10637.926208480589
690000,10386.137638764329
695000,10642.743390111937
700000,10488.70477371545
705000,10244.6755494044
710000,10383.33877541714
715000,9940.458494698238
720000,10300.616516216638
725000,10132.617790121076
730000,10189.717923883885
735000,10562.18913417132
740000,10871.998623532478
745000,9630.159120230239
750000,10481.036910284785
755000,10808.750291099963
760000,10368.700843638691
765000,9097.05918353166
770000,10567.222938309953
775000,10518.667205423633
780000,10710.185897477608
785000,10692.61410369767
790000,10623.551229770826
795000,10382.794668164284
800000,10779.549189818363
805000,10522.109567180543
810000,10040.714813608969
815000,10588.15475337668
820000,11016.033466219253
825000,10688.459065881372
830000,10025.388274579265
835000,10739.211212892342
840000,10557.1404074308
845000,10818.760210872513
850000,10803.445008829876
855000,10679.454100487697
860000,10550.600790022441
865000,11047.801709707603
870000,10586.245500207939
875000,11039.575328609959
880000,10981.99473137097
885000,10851.691450878143
890000,11202.050618349822
895000,10239.128619555559
900000,11068.21299830413
905000,10877.073356873521
910000,11107.493034771653
915000,11091.242781138391
920000,11078.368172220753
925000,10750.033604125294
930000,10994.26969258973
935000,11195.188989252645
940000,11139.426536303998
945000,10545.785367123091
950000,10264.87323980037
955000,10578.668030257419
960000,10863.439881850314
965000,11017.175417597193
970000,10427.90394396239
975000,10988.761844232906
980000,10401.39060196752
985000,11125.548033396093
990000,11380.769748569075
995000,10895.712977690187
1000000,10842.999621292613
